"","100_hist_stndrd_C5_Slot1-1_1_1279","1_hist_stndrd_D5_Slot1-1_1_1281","1_hist_stndrd_E5_Slot1-1_1_1282","1_hist_stndrd_F5_Slot1-1_1_1283","1_hist_stndrd_G5_Slot1-1_1_1285","1_hist_stndrd_H5_Slot1-1_1_1286","1_hist_stndrd_I5_Slot1-1_1_1287","2_hist_stndrd_J5_Slot1-1_1_1289","2_hist_stndrd_K5_Slot1-1_1_1290","4_hist_stndrd_L5_Slot1-1_1_1292","4_hist_stndrd_M5_Slot1-1_1_1293","8_hist_stndrd_N5_Slot1-1_1_1295","8_hist_stndrd_O5_Slot1-1_1_1296","auto_2_D5_histStand_1_Slot1-1_1_3404","auto_2_E5_histStand_1_Slot1-1_1_3405","auto_2_F5_histStand_1_Slot1-1_1_3406","auto_2_G5_histStand_2_Slot1-1_1_3407","auto_2_H5_histStand_2_Slot1-1_1_3408","auto_2_I5_histStand_2_Slot1-1_1_3409","auto_2_J5_histStand_4_Slot1-1_1_3410","auto_2_K5_histStand_4_Slot1-1_1_3411","auto_2_L5_histStand_4_Slot1-1_1_3412","auto_2_M5_histStand_8_Slot1-1_1_3413","auto_2_N5_histStand_8_Slot1-1_1_3414","auto_2_O5_histStand_8_Slot1-1_1_3415","auto_4_C5_histStand_100_Slot1-1_1_3489","auto_4_D5_histStand_1_Slot1-1_1_3477","auto_4_E5_histStand_1_Slot1-1_1_3478","auto_4_F5_histStand_1_Slot1-1_1_3479","auto_4_G5_histStand_2_Slot1-1_1_3480","auto_4_H5_histStand_2_Slot1-1_1_3481","auto_4_I5_histStand_2_Slot1-1_1_3482","auto_4_J5_histStand_4_Slot1-1_1_3483","auto_4_K5_histStand_4_Slot1-1_1_3484","auto_4_L5_histStand_4_Slot1-1_1_3485","auto_4_M5_histStand_8_Slot1-1_1_3486","auto_4_N5_histStand_8_Slot1-1_1_3487","auto_4_O5_histStand_8_Slot1-1_1_3488"
"me",0.827711152518897,1.04385593384811,1.08254124074024,0.997605883147957,1.00708997469721,0.989667876060079,1.02112545197686,1.07645226603768,1.03646074995103,0.9842572081155,1.04286922997531,0.916612829431347,0.890396082018854,0.900147441975204,1.08154363843053,1.05942338748225,1.06712459206465,0.875588017301407,0.894715582351017,1.0132549549041,0.937407821250963,1.03221046493662,1.01335404752504,1.11613952088874,0.990336150255349,0.845707400000222,1.03341738907416,1.08046626867599,0.992932288120063,1.14793441063393,1.07035717984456,1.1096315867131,1.16192641464516,1.11586597462559,0.953832192262766,0.96390737198219,1.13883171124183,0.86589209814099
"me2",0.629390455556138,0.442631097321438,0.654929082317375,0.635736055359622,0.642472873229952,0.643846098540639,0.636940758195732,0.649402756355802,0.647551887657689,0.641811114439169,0.640489594038039,0.609451524643684,0.563554223979399,0.396255911844905,0.394208144772665,0.424225234958788,0.366940344738879,0.329629998486226,0.37901845257353,0.33507323345584,0.340735252781791,0.356370016725884,0.331282447874452,0.499506482359955,0.442224669840415,0.590974623021525,0.692829604481721,0.6139686596557,0.518849574787646,0.775547422754397,0.683137154497091,0.730878347594053,0.706775599406272,0.720103174976817,0.644002762618584,0.633571947001956,0.759587101847298,0.65555179056334
"me3",0.307131360865357,0.389983694157953,0.300440032277535,0.307314607119326,0.273746892189435,0.30691764465,0.328050909080533,0.288899199620905,0.289596988462001,0.280724527348022,0.269049757384719,0.271976553568032,0.303289069505208,0.481063088062398,0.437639451181355,0.425828481579621,0.426891565096896,0.494305571674758,0.448794196932961,0.596099034381084,0.588219038933173,0.598672849250372,0.666963625082738,0.329659025340713,0.341251508106034,0.316423186053313,0.358258764053756,0.491746829603396,0.543342080477651,0.338835771010038,0.441879099241629,0.381335486818459,0.38289752569215,0.380167153000342,0.420974268045418,0.414459474501346,0.338337988386154,0.305481031011984
"ac",1.98753672567349,1.92515771327285,1.92841473989569,1.91516178353673,1.93854029120603,1.91896610271293,1.93246192239788,1.93834248995905,1.93776458297431,1.93529162081513,1.93757212474878,1.94180897840331,1.94890532032018,1.4895734262156,1.5259402605341,1.52043382407601,1.49397346953272,1.58410789133756,1.50627734393183,1.51627518915728,1.47314551431508,1.48022871270779,1.48510386018057,1.4433734418516,1.46560081377901,1.47450633677015,1.55603264516636,1.54362561711854,1.55444623136628,1.51465806177498,1.49016740576024,1.50150754951305,1.50286221114291,1.48481049295364,1.46163522813184,1.47312908558731,1.47018231108718,1.48013045853605
