"","100_hist_stndrd_C5_Slot1-1_1_1279","1_hist_stndrd_D5_Slot1-1_1_1281","1_hist_stndrd_E5_Slot1-1_1_1282","1_hist_stndrd_F5_Slot1-1_1_1283","1_hist_stndrd_G5_Slot1-1_1_1285","1_hist_stndrd_H5_Slot1-1_1_1286","1_hist_stndrd_I5_Slot1-1_1_1287","2_hist_stndrd_J5_Slot1-1_1_1289","2_hist_stndrd_K5_Slot1-1_1_1290","4_hist_stndrd_L5_Slot1-1_1_1292","4_hist_stndrd_M5_Slot1-1_1_1293","8_hist_stndrd_N5_Slot1-1_1_1295","8_hist_stndrd_O5_Slot1-1_1_1296","auto_2_D5_histStand_1_Slot1-1_1_3404","auto_2_E5_histStand_1_Slot1-1_1_3405","auto_2_F5_histStand_1_Slot1-1_1_3406","auto_2_G5_histStand_2_Slot1-1_1_3407","auto_2_H5_histStand_2_Slot1-1_1_3408","auto_2_I5_histStand_2_Slot1-1_1_3409","auto_2_J5_histStand_4_Slot1-1_1_3410","auto_2_K5_histStand_4_Slot1-1_1_3411","auto_2_L5_histStand_4_Slot1-1_1_3412","auto_2_M5_histStand_8_Slot1-1_1_3413","auto_2_N5_histStand_8_Slot1-1_1_3414","auto_2_O5_histStand_8_Slot1-1_1_3415","auto_4_C5_histStand_100_Slot1-1_1_3489","auto_4_D5_histStand_1_Slot1-1_1_3477","auto_4_E5_histStand_1_Slot1-1_1_3478","auto_4_F5_histStand_1_Slot1-1_1_3479","auto_4_G5_histStand_2_Slot1-1_1_3480","auto_4_H5_histStand_2_Slot1-1_1_3481","auto_4_I5_histStand_2_Slot1-1_1_3482","auto_4_J5_histStand_4_Slot1-1_1_3483","auto_4_K5_histStand_4_Slot1-1_1_3484","auto_4_L5_histStand_4_Slot1-1_1_3485","auto_4_M5_histStand_8_Slot1-1_1_3486","auto_4_N5_histStand_8_Slot1-1_1_3487","auto_4_O5_histStand_8_Slot1-1_1_3488"
"me",1.28807568600688,1.84014734777928,1.95217220699665,1.71178172822945,1.73762286053763,1.6903407973667,1.77631761847537,1.93425112099985,1.81922140680622,1.67582356602989,1.83734634549905,1.50080537359045,1.4360943533963,1.45996578663401,1.9492285817121,1.88470715136565,1.90700863522119,1.40028628894794,1.44663982294807,1.7545523827515,1.55335408222962,1.80726434077811,1.754825352091,2.05304520652089,1.69213928357209,1.32962520869138,1.81065454131735,1.94605288304698,1.69913752857703,2.15167611282974,1.91642100076409,2.03324070238488,2.1960843331373,2.05221017162896,1.59563760661755,1.62192130615281,2.12311752988589,1.37712576983369
"me2",0.87646644090503,0.556797921473859,0.92500599557127,0.888411605518185,0.9011764394722,0.903788976469381,0.890687951219852,0.914397125997241,0.910857105348272,0.899918735444797,0.897409612369247,0.8394222442879,0.756905853281149,0.486249617769321,0.483209238797345,0.528405805436952,0.443311815403707,0.390453563351443,0.460849991936617,0.398042764976701,0.405980962035898,0.428135884675327,0.392753116916239,0.647907798417492,0.556165324577262,0.805747481111795,0.999364948687441,0.847749957451567,0.680093715319525,1.17178068399622,0.980079814994134,1.07690405042438,1.02744341812819,1.05464518767794,0.904087255178151,0.884329297052151,1.13739351244221,0.926205085981239
"me3",0.35951954400655,0.47695671066346,0.350452919726126,0.359768693697363,0.314881953224827,0.359229023680459,0.388259645512537,0.334957157558662,0.335889000843661,0.324088803437147,0.308720257923794,0.312556226190064,0.354305896399413,0.61779334512978,0.549046299909463,0.53085818223689,0.532486477691391,0.639359426070094,0.566422249521116,0.81502462366268,0.800778441532722,0.819702178024458,0.94831252295872,0.390493924430472,0.406706994586293,0.37221083325804,0.430835821457899,0.635170090137264,0.721751489374622,0.403312861633334,0.55562765250142,0.464238755819532,0.466527740952946,0.462529035120049,0.523445076684866,0.51355240587763,0.402614490707817,0.357277738684769
"ac",6.29753577190258,5.85622989909133,5.87859722812491,5.78803690078662,5.94860063072294,5.81390994318803,5.90649257717408,5.9472263247776,5.9432126340416,5.92606354519802,5.94187648423918,5.9713505936442,6.02099762890385,3.43520317401745,3.59946623335015,3.57420916682896,3.45476125675468,3.87494046144134,3.50991065966666,3.55522619983494,3.36293726126853,3.39395051832576,3.41542397569638,3.23495813192795,3.33014406913747,3.36887848582279,3.73997871488522,3.68153298466249,3.73246510865993,3.5478657717935,3.43783837652985,3.48845053385365,3.49453498582573,3.41412882499559,3.31300651464536,3.36286558434878,3.3500281271326,3.39351881556559
