"","100_hist_stndrd_C5_Slot1-1_1_1279","1_hist_stndrd_D5_Slot1-1_1_1281","1_hist_stndrd_E5_Slot1-1_1_1282","1_hist_stndrd_F5_Slot1-1_1_1283","1_hist_stndrd_G5_Slot1-1_1_1285","1_hist_stndrd_H5_Slot1-1_1_1286","1_hist_stndrd_I5_Slot1-1_1_1287","2_hist_stndrd_J5_Slot1-1_1_1289","2_hist_stndrd_K5_Slot1-1_1_1290","4_hist_stndrd_L5_Slot1-1_1_1292","4_hist_stndrd_M5_Slot1-1_1_1293","8_hist_stndrd_N5_Slot1-1_1_1295","8_hist_stndrd_O5_Slot1-1_1_1296","auto_2_D5_histStand_1_Slot1-1_1_3404","auto_2_E5_histStand_1_Slot1-1_1_3405","auto_2_F5_histStand_1_Slot1-1_1_3406","auto_2_G5_histStand_2_Slot1-1_1_3407","auto_2_H5_histStand_2_Slot1-1_1_3408","auto_2_I5_histStand_2_Slot1-1_1_3409","auto_2_J5_histStand_4_Slot1-1_1_3410","auto_2_K5_histStand_4_Slot1-1_1_3411","auto_2_L5_histStand_4_Slot1-1_1_3412","auto_2_M5_histStand_8_Slot1-1_1_3413","auto_2_N5_histStand_8_Slot1-1_1_3414","auto_2_O5_histStand_8_Slot1-1_1_3415","auto_4_C5_histStand_100_Slot1-1_1_3489","auto_4_D5_histStand_1_Slot1-1_1_3477","auto_4_E5_histStand_1_Slot1-1_1_3478","auto_4_F5_histStand_1_Slot1-1_1_3479","auto_4_G5_histStand_2_Slot1-1_1_3480","auto_4_H5_histStand_2_Slot1-1_1_3481","auto_4_I5_histStand_2_Slot1-1_1_3482","auto_4_J5_histStand_4_Slot1-1_1_3483","auto_4_K5_histStand_4_Slot1-1_1_3484","auto_4_L5_histStand_4_Slot1-1_1_3485","auto_4_M5_histStand_8_Slot1-1_1_3486","auto_4_N5_histStand_8_Slot1-1_1_3487","auto_4_O5_histStand_8_Slot1-1_1_3488"
"zero_ac",0.392069524668937,0.448649627751764,0.455972593518899,0.460037650894234,0.447175529043288,0.458131518633192,0.459296317919041,0.452783419590625,0.460633563011501,0.457135013599226,0.457139131874411,0.441215193195853,0.439752428923835,0.365526713705439,0.373366928901272,0.3699916099689,0.379419395564348,0.358543667275373,0.38083693773852,0.390860594718536,0.401505732609507,0.389152001910705,0.394201449972392,0.46116635438423,0.406974554775343,0.401134632589387,0.386771362920849,0.392790715081724,0.402170749675752,0.392342815315399,0.408393659235046,0.412058815151433,0.391078653204644,0.40648788098558,0.404825755978566,0.410846697635147,0.422252874279166,0.415204431465546
"one_ac",0.314082723673213,0.251962386955972,0.246455385612303,0.253616862565476,0.2604542268666,0.247804776185407,0.250598322883027,0.253711547778493,0.244611636365595,0.258248757444724,0.256758851595848,0.276111759942967,0.273932504354552,0.289829021075983,0.281571599133927,0.284003296887912,0.298898253209286,0.325113453030827,0.277885573393679,0.295507793360176,0.291460305357597,0.299629211597034,0.297212098348664,0.251332233364928,0.287083338730456,0.29510124469685,0.25976920170562,0.266673763480088,0.245938643710956,0.285627907069198,0.282725252060559,0.258865484011611,0.297922393966873,0.288248044682273,0.292669887628139,0.283288854264711,0.286461194026498,0.287581218903957
"two_ac",0.125211023184607,0.106200071278627,0.0988398308523541,0.0997548775198384,0.097565056050196,0.10852036810874,0.0928987901364034,0.110869194727622,0.106234911461821,0.0973681020333408,0.0982922589733987,0.106245004281015,0.108175904924517,0.139541698509953,0.130211184353699,0.122491301914508,0.125541578608287,0.126845747415934,0.128446199561668,0.123161729129504,0.120684085361808,0.125022922501655,0.12228701726031,0.0940682500165389,0.121739031075384,0.126203698670537,0.120079608897174,0.121766472811599,0.107300376705713,0.11657258018316,0.112624946396605,0.107256861728632,0.120681716892596,0.11174582866654,0.120462040174055,0.124141559509243,0.105325457324694,0.11492789670549
"three_ac",0.0152428634164891,0.0273928670768342,0.0270278782373198,0.0149636293073328,0.0227724119210176,0.0181758062145705,0.0245177688360375,0.0157651122226634,0.0204364348092385,0.0198181109810062,0.0186989324625741,0.0138451375017022,0.0160497581784444,0.0410077451710674,0.0477605687178908,0.0591567985233052,0.0397538278307311,0.0361744367680784,0.04307077424975,0.0381292727693269,0.0302663502632144,0.0261608269976838,0.0284676657271791,0.0232488013817152,0.0260789792017923,0.0238914853181234,0.069869236342724,0.0508338064452667,0.0580324111642481,0.0389080161898088,0.0325079821745775,0.0543194969940618,0.031536602273514,0.0352853640084328,0.0246557660263328,0.0244178907898046,0.0253804746612696,0.0251338089721855
"four_ac",0.00220674808634128,0.0074131561958248,0.0114589703673617,0.00718632561725732,0.0129903101075462,0.00469264877137461,0.010024517479859,0.00536326882577484,0.00505428851267748,0.00350903271821869,0.00554259302177509,0.00137296126156802,0.00212586760043611,0.0304526982835115,0.0336122083503118,0.0320695806977702,0.0157501661922253,0.0124128507490864,0.0344825087771689,0.00797428144251158,0.00851302462541493,0.0151174638440657,0.0116763320139505,0.00616523657211024,0.0092743983768658,0.0045166862319204,0.030718129998429,0.0311486602763036,0.0517328326356624,0.0253204072734304,0.0164695429484567,0.0252536115211469,0.0139650879416067,0.0101809942246943,0.00794654363460235,0.00749456506243757,0.00610318078243568,0.00486404943933547
