"PTM1","PTM2","Log2FoldChange","pvalue"
"H3K23su","H2AJK5acK9ac",-0.791197339462775,2e-04
"H4K5acK8acK12acK16ac","H4K16ac",-0.327983663904182,2e-04
"H3K9meK14ac","H1.2K33ac",-0.230425000804456,4e-04
"H1.2K33ac","H3K9meK14ac",-0.230425000804456,4e-04
"H3K79me","H3K4me",0.351982909059016,4e-04
"H3K4me","H3K79me",0.351982909059016,4e-04
"H3K9me","H4K5ac",0.342552097650536,6e-04
"H3K79me","H2A1AK5ac",0.00724857764649933,6e-04
"H4K5ac","H3K9me",0.342552097650536,6e-04
"H2A1AK5ac","H3K79me",0.00724857764649933,6e-04
"H4K16ac","H1.5K33ac",-0.18323296623668,6e-04
"H1.5K33ac","H4K16ac",-0.18323296623668,6e-04
"H3K79me","H3K9meK14ac",0.113757785711525,8e-04
"H3K23ac","H4K5acK16ac",0.337376024769346,8e-04
"H3K18ac","H4K5acK8acK12acK16ac",0.0135971922142167,8e-04
"H3K9meK14ac","H3K79me",0.113757785711525,8e-04
"H4K5acK8acK12acK16ac","H3K18ac",0.0135971922142167,8e-04
"H4K5acK16ac","H3K23ac",0.337376024769346,8e-04
"H3K18ac","H2A1AK5ac",-0.0395249738096636,0.001
"H3K79me","H3K9acK14ac",-0.310210088622944,0.001
"H3K9acK14ac","H3K79me",-0.310210088622944,0.001
"H2A1AK5ac","H3K18ac",-0.0395249738096636,0.001
"H2A1AK5ac","H3K27meK36me2",-0.00615978132110205,0.0012
"H3K27meK36me2","H2A1AK5ac",-0.00615978132110205,0.0012
"H3K79me","H3K9me2",-0.0520498913959061,0.0014
"H3K9me2","H3K79me",-0.0520498913959061,0.0014
"H4K5ac","H3K27meK36me2",-0.453154508352386,0.0018
"H2A1BK15ac","H3K27meK36me2",-0.667505171230063,0.0018
"H3K27meK36me2","H4K5ac",-0.453154508352386,0.0018
"H3K27meK36me2","H2A1BK15ac",-0.667505171230063,0.0018
"H4K5acK12ac","H3K9acK14ac",0.0987826426226157,0.002
"H3K9acK14ac","H4K5acK12ac",0.0987826426226157,0.002
"H1.2K33ac","H3K18acK23ac",0.220444271010026,0.0024
"H3K18acK23ac","H1.2K33ac",0.220444271010026,0.0024
"H4K8acK12acK16ac","H3K18acK23ac",0.200364054843489,0.0026
"H1K25me","H3K9meK14ac",-0.157020666440875,0.0026
"H3K18acK23ac","H4K8acK12acK16ac",0.200364054843489,0.0026
"H3K9meK14ac","H1K25me",-0.157020666440875,0.0026
"H4K5acK8acK12acK16ac","H3K36me2",0.11614389538166,0.0028
"H3K36me2","H4K5acK8acK12acK16ac",0.11614389538166,0.0028
"H4K5acK16ac","H4K8ac",0.377020991454351,0.0034
"H4K5acK16ac","H3K36me2",0.205513510004801,0.0034
"H4K8ac","H4K5acK16ac",0.377020991454351,0.0034
"H3K36me2","H4K5acK16ac",0.205513510004801,0.0034
"H3K9meK14ac","H3K18acK23ac",0.322454354955039,0.0036
"H3K18acK23ac","H3K9meK14ac",0.322454354955039,0.0036
"H4K8acK16ac","H3K18acK23ac",-0.00471698661563576,0.0038
"H3K18acK23ac","H4K8acK16ac",-0.00471698661563576,0.0038
"H4K12acK16ac","H3K9acK14ac",0.116237506740398,0.0044
"H3K9acK14ac","H4K12acK16ac",0.116237506740398,0.0044
"H4K5acK8acK12acK16ac","H4K8acK16ac",-0.202474724996953,0.0044
"H4K8acK16ac","H4K5acK8acK12acK16ac",-0.202474724996953,0.0044
"H3K18ac","H4K5acK12acK16ac",0.0864366942876953,0.0044
"H4K5acK12acK16ac","H3K18ac",0.0864366942876953,0.0044
"H4K8acK16ac","H1.2K33ac",0.0483935446783336,0.0052
"H1.2K33ac","H4K8acK16ac",0.0483935446783336,0.0052
"H4K5acK16ac","H1.2K33ac",0.453707772320482,0.0058
"H1.2K33ac","H4K5acK16ac",0.453707772320482,0.0058
"H2AJK5acT6ac","H3K9meK14ac",0.230022345283543,0.0066
"H3K9meK14ac","H2AJK5acT6ac",0.230022345283543,0.0066
"H4K5acK8acK12ac","H3K79me",-0.136999011907426,0.0072
"H3K79me","H4K5acK8acK12ac",-0.136999011907426,0.0072
"H4K5acK12ac","H3K36me2",-0.374496492141024,0.0074
"H3K36me2","H4K5acK12ac",-0.374496492141024,0.0074
"H4K16ac","H3K18ac",0.297509515106346,0.0074
"H3K18ac","H4K16ac",0.297509515106346,0.0074
"H3K18ac","H3K4me",0.340851080090897,0.0076
"H3K4me","H3K18ac",0.340851080090897,0.0076
"H4K16ac","H3K23su",0.594926106262068,0.0078
"H3K23su","H4K16ac",0.594926106262068,0.0078
"H4K5acK12ac","H3K9ac",0.0788863184786187,0.0082
"H3K9ac","H4K5acK12ac",0.0788863184786187,0.0082
"H1K25me","H4K5acK8acK12ac",-0.525781233444481,0.0082
"H4K5acK8acK12ac","H1K25me",-0.525781233444481,0.0082
"H3K79me","H3K9me3K14ac",-0.0662091137336067,0.009
"H3K9me3K14ac","H3K79me",-0.0662091137336067,0.009
"H3K18ac","H3K27meK36me2",-0.374403240717831,0.0098
"H3K27meK36me2","H3K18ac",-0.374403240717831,0.0098
"H2AJK5acT6ac","H4K5ac",0.152369017159904,0.0106
"H4K5ac","H2AJK5acT6ac",0.152369017159904,0.0106
"H4K16ac","H3K9acK14ac",-0.58775753370611,0.013
"H3K9acK14ac","H4K16ac",-0.58775753370611,0.013
"H2AJK5acT6ac","H3K4me",-0.417953332922442,0.0136
"H3K4me","H2AJK5acT6ac",-0.417953332922442,0.0136
"H3K14ac","H4K12ac",-0.20981672599374,0.015
"H4K12ac","H3K14ac",-0.20981672599374,0.015
"H2AJK5acT6ac","H4K8acK16ac",0.200846435813262,0.0152
"H4K8acK16ac","H2AJK5acT6ac",0.200846435813262,0.0152
"H3K23su","H3K27meK36me2",-0.109219177191706,0.0156
"H4K5acK8acK12acK16ac","H1.2K33ac",-0.170074315675855,0.0156
"H3K27meK36me2","H3K23su",-0.109219177191706,0.0156
"H1.2K33ac","H4K5acK8acK12acK16ac",-0.170074315675855,0.0156
"H3K4me","H3K18acK23ac",-0.0408773327684228,0.017
"H3K18acK23ac","H3K4me",-0.0408773327684228,0.017
"H2AJK5acK9ac","H3K27me2K36me",0.272087185416245,0.0182
"H2AJK5acT6ac","H3K18ac",-0.214914917670831,0.0182
"H3K27me2K36me","H2AJK5acK9ac",0.272087185416245,0.0182
"H3K18ac","H2AJK5acT6ac",-0.214914917670831,0.0182
"H3K9me2K14ac","H4K5ac",0.274774928278492,0.0184
"H4K5ac","H3K9me2K14ac",0.274774928278492,0.0184
"H4K8acK16ac","H3K9meK14ac",0.18920565860986,0.0198
"H3K9meK14ac","H4K8acK16ac",0.18920565860986,0.0198
"H4K5ac","H4K12ac",0.133345514864224,0.02
"H4K12ac","H4K5ac",0.133345514864224,0.02
"H1K25me","H4K8acK16ac",-0.543254163798203,0.0212
"H4K8acK16ac","H1K25me",-0.543254163798203,0.0212
"H3K23ac","H4K5acK8acK12ac",0.132451624472224,0.0224
"H4K5acK8acK12ac","H3K23ac",0.132451624472224,0.0224
"H1K25me","H4K12ac",0.113123251811742,0.0242
"H4K12ac","H1K25me",0.113123251811742,0.0242
"H4K8acK12ac","H3K9meK14ac",0.0329988344664343,0.0246
"H3K9meK14ac","H4K8acK12ac",0.0329988344664343,0.0246
"H3K9me2","H3K18acK23ac",-0.14887114446611,0.0252
"H3K18acK23ac","H3K9me2",-0.14887114446611,0.0252
"H3K18ac","H4K8acK16ac",0.0385891812340011,0.0252
"H4K8acK16ac","H3K18ac",0.0385891812340011,0.0252
"H1K25me","H4K8ac",0.331018094082689,0.0258
"H4K5acK8acK12acK16ac","H4K12acK16ac",-0.120621335091116,0.0258
"H4K12acK16ac","H4K5acK8acK12acK16ac",-0.120621335091116,0.0258
"H4K8ac","H1K25me",0.331018094082689,0.0258
"H3K23ac","H4K5acK8acK16ac",0.267782369975073,0.0268
"H4K5acK8acK16ac","H3K23ac",0.267782369975073,0.0268
"H4K5acK16ac","H2A1AK5ac",-0.066121236885156,0.027
"H2A1AK5ac","H4K5acK16ac",-0.066121236885156,0.027
"H4K8acK12ac","H3K4me",-0.179286921349936,0.029
"H3K4me","H4K8acK12ac",-0.179286921349936,0.029
"H4K8acK12acK16ac","H3K9me2K14ac",-0.0143915226054703,0.0298
"H3K9me2K14ac","H4K8acK12acK16ac",-0.0143915226054703,0.0298
"H3K18ac","H3K27me2K36me",0.173426120841832,0.0304
"H3K27me2K36me","H3K18ac",0.173426120841832,0.0304
"H4K5acK8acK12ac","H4K12ac",-0.0176230497403296,0.0306
"H4K12ac","H4K5acK8acK12ac",-0.0176230497403296,0.0306
"H1K25me","H3K79me",-0.0841862076019221,0.0312
"H4K5acK8acK12ac","H4K5acK12ac",-0.169462938545353,0.0312
"H4K5acK12ac","H4K5acK8acK12ac",-0.169462938545353,0.0312
"H3K79me","H1K25me",-0.0841862076019221,0.0312
"H4K16ac","H3K4me",-0.00845428026676696,0.0314
"H3K4me","H4K16ac",-0.00845428026676696,0.0314
"H3K14ac","H4K5acK8acK16ac",0.197776841801741,0.032
"H4K5acK8acK16ac","H3K14ac",0.197776841801741,0.032
"H4K5acK12ac","H3K79me",0.0992842934394898,0.0334
"H3K79me","H4K5acK12ac",0.0992842934394898,0.0334
"H3K18ac","H3K9acK14ac",0.0969335127649288,0.0348
"H3K9acK14ac","H3K18ac",0.0969335127649288,0.0348
