"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494"
"zero_ac",0.81712182974873,0.796564135584364,0.821639416071932,0.801971629203271,0.813486853160439,0.741946445279326,0.740957031382169,0.742387382184155,0.740048593743098,0.742189283996636,0.762103602312478,0.787182448026145,0.753032341558435,0.754932254697585,0.571857567447129,0.591548380746489,0.58875518588607,0.587627200510371,0.780114370957551,0.637791540450493,0.689596852949927,0.691486723150633,0.581942261454034,0.693068905161756,0.660486886496143,0.618689349894453,0.663307020300355
"one_ac",0.116015509446358,0.153252312338435,0.104890200210158,0.132935871422468,0.112175442137769,0.18154584084174,0.166058339294385,0.175579004886758,0.162670895767124,0.162638749418941,0.173786421509349,0.15582950972054,0.15608272840991,0.150136966383466,0.248423880115935,0.25684805850248,0.258395638177269,0.269522250207073,0.141976222761551,0.240598173014899,0.199549161204078,0.209783418122447,0.275704412547181,0.186809831696311,0.222639679178052,0.217293199299677,0.206688225515143
"two_ac",0.0336431366377746,0.0359589998595264,0.0484331362662708,0.0472104561538827,0.0421042581895179,0.0558519098808497,0.0696475119544446,0.0591749749170303,0.0712975504077277,0.0562668215230594,0.0439695766590995,0.0305696528097411,0.0609514128446125,0.0712188397985931,0.145904525422919,0.119454114619089,0.122069017817073,0.118164396262103,0.0630154148542322,0.0970415110026346,0.0863440685574242,0.0796989646130033,0.117614754432791,0.086349290579443,0.084657377435089,0.118272677363354,0.0959136182736413
"three_ac",0.0231058373347305,0.0129934984457721,0.0185075771574087,0.0146735140012839,0.024970317577128,0.0185368962405071,0.018410154720173,0.0181332899366521,0.0198738845251128,0.0275517763374738,0.0158986400901953,0.0176169231652719,0.0222670971305189,0.0196771768859116,0.0273568441102658,0.0272606413802213,0.0256311993965723,0.0200701819544793,0.00868127355128852,0.0148690062524823,0.0162990584873379,0.0140382594451039,0.0203969405264227,0.0264923290159334,0.0234414410697766,0.0349947546541608,0.0257543835514469
"four_ac",0.0101136868324063,0.00123105377190186,0.0065296702942299,0.00320852921909455,0.00726312893514541,0.00211890775757764,0.00492696264882783,0.00472534807540403,0.00610907555693772,0.0113533687238898,0.00424175942887812,0.00880146627830155,0.00766642005652435,0.0040347622344436,0.00645718290375079,0.00488880475172032,0.00514895872301648,0.00461597106597313,0.00621271787537759,0.00969976927949121,0.00821085880123297,0.00499263466881241,0.00434163103957064,0.00727964354655708,0.00877461582093962,0.0107500187883552,0.00833675235941447
