"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494"
"me",0.345921661515157,0.363568932358361,0.319708731745322,0.387140453918947,0.333653203139281,0.316296707927964,0.317181274257165,0.358766007285693,0.348425930207253,0.359727986904361,0.33533559160934,0.360275634450761,0.35231314185439,0.273711789484057,0.307118615642105,0.296463113891005,0.32736993822173,0.47269658656188,0.289232839534398,0.297716434316422,0.255762806640376,0.301035829538794,0.366508833557448,0.530792813249848,0.461354044113553,0.320866096601309,0.442415662720247
"me2",0.68392871499516,0.744000255739676,0.70000445984503,0.782275197542414,0.700761066063518,0.777305893630391,0.676872781336703,0.75453426835542,0.752706291113679,0.713262642079407,0.694862165895584,0.751215761238663,0.727968749532287,0.597253309059302,0.666781566333774,0.796441170464864,0.750095016359118,0.674155725587114,0.521811893563227,0.635291605154115,0.547334460453719,0.57108641586597,0.715615411247605,0.731194882576708,0.628917434106836,0.569167398883637,0.608277193264519
"me3",0.0400592393007583,0.0490626748774694,0.0392637902643758,0.052297987115852,0.0471622862922411,0.0531697055455427,0.0393541887984915,0.0442386701910239,0.0626213942108491,0.0460325951155142,0.0442854281345141,0.04952688313528,0.0597636444540851,0.0388860797399158,0.0698355595403254,0.0596108810870875,0.0574930474071234,0.249088447533564,0.245293916755151,0.231244135783483,0.238786653547009,0.264923736042353,0.247565059769738,0.271583010434599,0.257705600526659,0.234564946207047,0.247463388710729
"ac",1.81986882908431,1.84488593283761,1.84931154433509,1.83091381579198,1.82938286728453,1.84680118992775,1.85977246664837,1.86563302277948,1.85295113550638,1.84935618344097,1.82934635039929,1.82290406273402,1.83192451767198,1.85343611167117,1.89247458846378,1.94852885718746,2.03520800962475,2.08148243342184,1.99419067339647,2.01995731876143,2.03534123490739,2.02228087456167,2.04452910447495,1.99481986450747,2.00407417497039,2.01531445075723,1.98863178933192
