"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494"
"me",0.876551901734318,1.11796357450873,1.18586486342488,1.38714692162856,1.27910627240481,1.00990244360591,0.989778731346536,1.33110141718393,1.23640006803548,1.51045474460629,1.06228014511427,1.05684429316967,1.41286052132209,0.892373993208841,0.570936943856877,0.787206361967926,0.675566099873003,0.580695647540239,1.08317503200093,1.65772342850303,0.971974653560067,1.11300161986401,0.877855888844926,1.1799191784521,0.963197839356193,1.42869785348035,0.956899621334698
"me2",0.92264621916948,1.02646184078259,0.916872729783563,1.07310236306689,0.958044730526001,1.08579277664065,0.915030808016845,1.04455564559439,0.99458521456572,0.940797783630583,0.960473726225597,1.01598600272732,1.00085202042262,0.797902760985528,0.897511526570403,1.08075795899243,1.01313920910495,0.919334538513547,0.92331421568092,1.07591139301405,1.01952315131326,0.957361794656325,1.05398644335768,1.10769467574273,0.907818996752203,0.92760666025059,0.898338317074903
"me3",0.281196945872947,0.307616322483718,0.328331197773372,0.356151265036947,0.301018227465721,0.356105157973977,0.278809229850351,0.330733225320257,0.402875500994091,0.377053560840733,0.356694892919056,0.357518526395892,0.336307638432057,0.288360519401094,0.294493933286736,0.324044086115028,0.302129980248604,0.436669008381301,0.286744171147939,0.28803030485841,0.271489491830239,0.358078850373459,0.315458495283683,0.339941200998103,0.388616929292457,0.236366407435486,0.360628793581618
"ac",5.99779209069176,6.07844093473471,6.12085978862217,6.01696975870871,6.00946047632922,6.09223768009437,6.15488256480878,6.26036072164664,6.04417743065294,6.06002966058768,6.03508634315639,5.87937831879124,5.94150431106309,6.25340179713037,6.40984425616835,6.78780074384466,7.4175458301147,6.52665472806057,5.92922382958506,6.15335854917074,6.25967453228029,6.17808033359329,6.42501879833502,6.1126803004759,6.18644949496634,6.25034624050403,6.07249713840864
